OBJECTID,Easting,Northing,Elevation,Bathydepth,Bathymeters,Included,Predicted,Error,absERROR
158,183497.229,562266.887,-14.136,-3.5627,-11.68850616,Yes,-13.5256467399929,0.610353260007082,0.610353260007082
159,183489.841,562266.37,-13.126,-2.5527,-8.37489816,Yes,-12.8524054988126,0.273594501187404,0.273594501187404
160,183487.316,562267.286,-12.734,-2.1607,-7.08882456,Yes,-12.4558750243051,0.27812497569486,0.27812497569486
161,183483.59,562266.788,-12.152,-1.5787,-5.17939896,Yes,-11.69782592274,0.454174077259973,0.454174077259973
162,183483.145,562272.938,-11.828,-1.2547,-4.11641976,Yes,-11.3540588526221,0.473941147377888,0.473941147377888
163,183490.358,562272.789,-13.21,-2.6367,-8.65048536,Yes,-12.9190635062684,0.290936493731582,0.290936493731582
164,183497.615,562272.969,-14.096,-3.5227,-11.55727416,Yes,-13.5571331048633,0.538866895136719,0.538866895136719
165,183504.831,562273.144,-14.127,-3.5537,-11.65897896,Yes,-13.7132977698651,0.4137022301349,0.4137022301349
166,183512.34,562273.361,-14.135,-3.5617,-11.68522536,Yes,-13.6881555532499,0.446844446750095,0.446844446750095
167,183519.347,562274.11,-13.891,-3.3177,-10.88471016,Yes,-13.5700942099278,0.320905790072171,0.320905790072171
168,183524.372,562274.011,-13.715,-3.1417,-10.30728936,Yes,-13.5274314381522,0.187568561847753,0.187568561847753
169,183531.434,562274.518,-14.074,-3.5007,-11.48509656,Yes,-13.5269903713655,0.547009628634546,0.547009628634546
170,183538.867,562274.502,-14.134,-3.5607,-11.68194456,Yes,-13.5818678277216,0.552132172278363,0.552132172278363
171,183546.02,562273.861,-13.855,-3.2817,-10.76660136,Yes,-13.5750298491168,0.279970150883226,0.279970150883226
172,183553.237,562274.569,-13.554,-2.9807,-9.77908056,Yes,-13.4257143832894,0.128285616710574,0.128285616710574
173,183560.522,562275.039,-13.46,-2.8867,-9.47068536,Yes,-13.2920557124713,0.16794428752875,0.16794428752875
174,183567.842,562275.421,-13.331,-2.7577,-9.04746216,Yes,-13.1366278351263,0.194372164873736,0.194372164873736
175,183575.062,562275.641,-12.961,-2.3877,-7.83356616,Yes,-12.9020871333526,0.05891286664744,0.058912866647439
176,183582.212,562275.978,-12.608,-2.0347,-6.67544376,Yes,-12.5685413954698,0.0394586045302,0.0394586045302
177,183589.526,562275.913,-12.161,-1.5877,-5.20892616,Yes,-12.0934305091337,0.067569490866282,0.067569490866282
178,183596.819,562276.268,-11.776,-1.2027,-3.94581816,Yes,-11.7019466690172,0.074053330982761,0.074053330982761
179,183568.34,562281.446,-13.079,-2.5057,-8.22070056,Yes,-12.9427140937527,0.136285906247311,0.136285906247311
180,183561.078,562281.777,-13.304,-2.7307,-8.95888056,Yes,-13.1266803067221,0.177319693277932,0.177319693277932
181,183553.975,562281.745,-13.388,-2.8147,-9.23446776,Yes,-13.1956537288894,0.192346271110635,0.192346271110635
182,183546.491,562281.78,-13.681,-3.1077,-10.19574216,Yes,-13.2439706114773,0.437029388522703,0.437029388522703
